"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW2";"YTSA007A0151803B";1;"YTSA007A0151803B";;;
2;"C34,C31,C49,C55,C27,C48,C33,C26,C44,C30,C36,C43,C38,C25,C56,C24,C42";"0603C";17;"100n";;;
3;"C23,C28,C47,C21,C37,C32";"0603C";6;"2u2";;;
4;"R20,R32,R8,R37,R38";"0603R";5;"4k7";;;
5;"L2";"NR4012";1;"NR4012T2R2M";;;
6;"K9,K10,K47,K49,K21,K54,K29,K28,K6,K38,K34,K32,K56,K53,K27,K45,K24,K51,K33,K44,K30,K17,K31,K40,K57,K39,K19,K22,K41,K4,K37,K7,K42,K5,K55,K20,K35,K43,K25,K46,K36,K26,K58,K11,K18,K52,K12,K16,K48,K23,K50";"HEADER_MALE_1X1_Inkplate";51;"HEADER_MALE_1X1_Inkplate";;;
7;"F1";"1206FUSE";1;"1206FUSE-500mA";;;
8;"C6,C3,C4,C53,C54,C13,C12,C52,C2,C39,C51,C1,C9,C45,C11,C7";"0805C";16;"4u7-TMK212AB7475KG-T";;;
9;"R45,R4,R19,R33,R1,R22,R51";"0603R";7;"10k";;;
10;"D9,D6";"SOT-23-3";2;"BAT54S";;;
11;"D1,D3";"SOD-323-2";2;"CUS10F30,H3F";;;
12;"D10,D11";"M4_DIODA";2;"M4_DIODA";;;
13;"U6";"SOT-23-5";1;"TPS3840PL27DBVR";;;
14;"U3";"TPS7A2633DRVR";1;"TPS7A2633DRVR";;;
15;"PAD2,PAD5,PAD6,PAD7,PAD1,PAD4,PAD3";"PAD_4x4";7;"PAD_4x4";;;
16;"X1";"ABS07AIG-32.768KHZ-7-D-T";1;"7LC32768F12UC";;;
17;"R16,R25,R5,R17,R43,R26,R6,R47,R7,R44,R49,R48,R31,R15";"0603R";14;"100k";;;
18;"L1";"1515L";1;"LQH44PN4R7MP0L";;;
19;"R10";"0603R";1;"2k49";;;
20;"SW1,SW3";"K2-1114SA-A4SW-06";2;"K2-1114SA-A4SW-06";;;
21;"U10";"PCF85063A";1;"PCF85063A";;;
22;"R50";"0603R";1;"330R";;;
23;"R36,R35,R14,R21,R23,R27,R24,R9,R34";"0603R";9;"1k";;;
24;"U12";"ESP32-WROVER";1;"ESP32-WROVER";;;
25;"K1";"INKPLATE TEST HEADER";1;"Inkplate_TP";;;
26;"C8,C5,C10";"0603C";3;"10u-GRM188R61E106KA73J";;;
27;"C20,C50";"2917C";2;"DNP";;;
28;"R29,R18";"0603R";2;"DNP";;;
29;"C41,C40";"0603C";2;"12p";;;
30;"Q10,Q1,Q2";"SOT-23-3";3;"PMOS";;;
31;"D2,D12,D5,D4";"SOD-323";4;"BAT20J";;;
32;"D7";"0402LED";1;"RED";;;
33;"R11";"0603R";1;"510k";;;
34;"U8,U9";"PCAL6416AHF,128";2;"PCAL6416AHF,128";;;
35;"Q7,Q5,Q6";"SOT-23-3";3;"NPN";;;
36;"C14,C15";"0603C";2;"2u2-GRM188R61E225MA12D";;;
37;"K13";"HYC77-TF09-200";1;"HYC77-TF09-200";;;
38;"JP3,JP6,JP4,JP2,JP5";"SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE";5;"SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE";;;
39;"K14";"CR2032-BS-6-1";1;"CR2032_BS-6-1";;;
40;"R13,R12";"0603R";2;"5k1";;;
41;"C17,C16";"0603C";2;"10n-AC0603KRX7R8BB103";;;
42;"H1,H4,H3,H2";"Standoff_M3";4;"Standoff_M3";;;
43;"K8";"easyC-connector";1;"easyC-SMD";;;
44;"U1";"VQFN-49";1;"TPS65186RGZ";;;
45;"D8";"LTST-S270GKT";1;"0603LED_SIDE";;;
46;"K15";"AXT334124";1;"AXT334124";;;
47;"Q3";"SOT-23-3";1;"NMOS";;;
48;"R41,R39";"0603R";2;"1M";;;
49;"C35";"0603C";1;"100p";;;
50;"R2";"0603R";1;"NTC-NCP18XH103F03RB";;;
51;"R28";"0603R";1;"0R";;;
52;"JP1";"SMD_JUMPER";1;"SMD_JUMPER";;;
53;"C46,C22,C29";"1206C";3;"10u";;;
54;"S1";"SK-3296S-01-L1";1;"SK-3296S-01-L1";;;
55;"K2";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
56;"R40";"0603R";1;"47k5-RC0603FR-0747K5L";;;
57;"R3";"0603R";1;"43k-RC0603FR-0743KL";;;
58;"C19,C18";"0603C";2;"100n-AC0603KRX7R8BB104";;;
59;"R46";"0603R";1;"47k";;;
60;"U5";"SOP-16";1;"CH340C";;;
61;"R42";"0603R";1;"52k3-RC0603FR-0752K3L";;;
62;"R30";"0603R";1;"47R";;;
63;"Q9";"SOT-23-3";1;"DNP";;;
64;"Q8,Q4";"SOT-23-3";2;"SSM3J358R,LF";;;
65;"U2";"SOT-23-5";1;"MCP73831T";;;
66;"U7";"SN74LVC1G34DBV";1;"SN74LVC1G34DBV";;;
67;"U4";"TSSOP-14";1;"MC14093BDTR2G";;;
68;"K3";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
69;"U11";"ED060SC7";1;"ED060SC7";;;
